Locations
7097.32696435
7061.83422286
7036.07997001
7002.34598227
6991.60076112
6979.29198518
6945.73954739
6913.69314019
6884.90399263
6860.04620337
6849.27947267
6790.08649638
6776.16665681
6734.42204395
6687.98731614
6661.49252722
6612.83952586
6573.93083454
6544.85007956
6477.66699072
6312.4267544
6248.85468955
6146.10147476
5989.03111438
5978.60154645
5783.56478453
5752.57672535
5682.79051635
5584.60165421
5536.45504399
5469.96088583
5348.37826374
5290.04579706
5180.59137036
5087.2167057
5028.47502938
4893.92434106
4806.8000536
4731.19163683
4700.12320784
4637.80297498
4557.93657488
4475.83678823
4415.56469243
4344.05699119
4276.50970828
4163.36382518
4200.61430013
4002.3826215
3938.82153832
3860.37897664
3784.79182299
3698.00920661
3624.54403882
3509.55151202
3450.13799958
3390.36132611
3317.54722306
3218.35081671
3071.39408767
2985.66502817
2922.33246333
2878.95125426
2817.87065497
2750.37759476
2673.38627645
2612.94464466
2494.67258843
2409.10789248
2195.22656316
2134.7873315
2077.47062288
2025.53176024
2345.33390165
1986.40097681
1914.07671688
1863.17283807
1811.26886553
1763.77000601
1693.74622061
1610.92298351
1534.74396246
1481.06994269
1447.36348589
1340.0887804
1314.43971978
1235.71903861
1128.39109551
1078.99915764
1026.8660017
972.301711609
877.46406658
905.428845448
838.11852852
797.318407541
759.719467543
722.1534269
676.333174493
634.706852075
589.098383179
522.651801081
468.167579258
407.2169651
369.301215548
328.329167957
259.121473498
237.781845278
195.183717001
101.624410366
0.0
5936.54352343
5868.63488713
5825.06225588
